Year,Yield,Unit for yield,Price,Unit for price
1960,54.7,bushels,1,$/bushel
1961,62.4,bushels,1.1,$/bushel
1962,64.7,bushels,1.12,$/bushel
1963,67.9,bushels,1.11,$/bushel
1964,62.9,bushels,1.17,$/bushel
1965,74.1,bushels,1.16,$/bushel
1966,73.1,bushels,1.24,$/bushel
1967,80.1,bushels,1.03,$/bushel
1968,79.5,bushels,1.08,$/bushel
1969,85.9,bushels,1.16,$/bushel
1970,72.4,bushels,1.33,$/bushel
1971,88.1,bushels,1.08,$/bushel
1972,97,bushels,1.57,$/bushel
1973,91.3,bushels,2.55,$/bushel
1974,71.9,bushels,3.02,$/bushel
1975,86.4,bushels,2.54,$/bushel
1976,88,bushels,2.15,$/bushel
1977,90.8,bushels,2.02,$/bushel
1978,101,bushels,2.25,$/bushel
1979,109.5,bushels,2.52,$/bushel
1980,91,bushels,3.11,$/bushel
1981,108.9,bushels,2.5,$/bushel
1982,113.2,bushels,2.55,$/bushel
1983,81.1,bushels,3.21,$/bushel
1984,106.7,bushels,2.63,$/bushel
1985,118,bushels,2.23,$/bushel
1986,119.4,bushels,1.5,$/bushel
1987,119.8,bushels,1.94,$/bushel
1988,84.6,bushels,2.54,$/bushel
1989,116.3,bushels,2.36,$/bushel
1990,118.5,bushels,2.28,$/bushel
1991,108.6,bushels,2.37,$/bushel
1992,131.5,bushels,2.07,$/bushel
1993,100.7,bushels,2.5,$/bushel
1994,138.6,bushels,2.26,$/bushel
1995,113.5,bushels,3.24,$/bushel
1996,127.1,bushels,2.71,$/bushel
1997,126.7,bushels,2.43,$/bushel
1998,134.4,bushels,1.94,$/bushel
1999,133.8,bushels,1.82,$/bushel
2000,136.9,bushels,1.85,$/bushel
2001,138.2,bushels,1.97,$/bushel
2002,129.3,bushels,2.32,$/bushel
2003,142.2,bushels,2.42,$/bushel
2004,160.3,bushels,2.06,$/bushel
2005,147.9,bushels,2,$/bushel
2006,149.1,bushels,3.04,$/bushel
2007,150.7,bushels,4.2,$/bushel
2008,153.3,bushels,4.06,$/bushel
2009,164.4,bushels,3.55,$/bushel
2010,152.6,bushels,5.18,$/bushel
2011,146.8,bushels,6.22,$/bushel
2012,123.1,bushels,6.89,$/bushel
2013,158.1,bushels,4.46,$/bushel
2014,171,bushels,3.7,$/bushel
2015,168.4,bushels,3.61,$/bushel
2016,174.6,bushels,3.36,$/bushel
2017,176.6,bushels,3.36,$/bushel
2018,176.4,bushels,3.61,$/bushel
2019,167.5,bushels,3.56,$/bushel
2020,171.4,bushels,4.53,$/bushel
2021,177,bushels,5.45,$/bushel
