Year,Yield,Unit for yield,Price,Unit for price
1937,22.3,bushels,0.549,$/bushel
1938,24.2,bushels,0.381,$/bushel
1939,21.8,bushels,0.403,$/bushel
1940,23,bushels,0.393,$/bushel
1941,25.4,bushels,0.545,$/bushel
1942,25.3,bushels,0.633,$/bushel
1943,21.7,bushels,0.996,$/bushel
1944,22.5,bushels,1.01,$/bushel
1945,25.5,bushels,1.01,$/bushel
1946,25.5,bushels,1.38,$/bushel
1947,25.7,bushels,1.73,$/bushel
1948,26.5,bushels,1.16,$/bushel
1949,24,bushels,1.06,$/bushel
1950,27.2,bushels,1.19,$/bushel
1951,27.3,bushels,1.26,$/bushel
1952,27.7,bushels,1.37,$/bushel
1953,28.4,bushels,1.17,$/bushel
1954,28.4,bushels,1.09,$/bushel
1955,27.8,bushels,0.92,$/bushel
1956,29.3,bushels,0.99,$/bushel
1957,29.8,bushels,0.887,$/bushel
1958,32.3,bushels,0.9,$/bushel
1959,28.3,bushels,0.86,$/bushel
1960,31,bushels,0.84,$/bushel
1961,30.6,bushels,0.979,$/bushel
1962,35,bushels,0.915,$/bushel
1963,35,bushels,0.897,$/bushel
1964,37.6,bushels,0.953,$/bushel
1965,42.9,bushels,1.02,$/bushel
1966,38.3,bushels,1.06,$/bushel
1967,40.5,bushels,1.01,$/bushel
1968,43.8,bushels,0.921,$/bushel
1969,44.7,bushels,0.885,$/bushel
1970,42.8,bushels,0.973,$/bushel
1971,45.8,bushels,0.993,$/bushel
1972,43.7,bushels,1.21,$/bushel
1973,40.5,bushels,2.14,$/bushel
1974,37.7,bushels,2.81,$/bushel
1975,44,bushels,2.42,$/bushel
1976,45.4,bushels,2.25,$/bushel
1977,44,bushels,1.78,$/bushel
1978,49.2,bushels,1.92,$/bushel
1979,50.9,bushels,2.27,$/bushel
1980,49.7,bushels,2.79,$/bushel
1981,52.4,bushels,2.48,$/bushel
1982,57.2,bushels,2.18,$/bushel
1983,52.3,bushels,2.47,$/bushel
1984,53.3,bushels,2.29,$/bushel
1985,50.9,bushels,1.98,$/bushel
1986,50.8,bushels,1.61,$/bushel
1987,52.4,bushels,1.81,$/bushel
1988,38,bushels,2.8,$/bushel
1989,48.6,bushels,2.42,$/bushel
1990,56.1,bushels,2.14,$/bushel
1991,55.2,bushels,2.1,$/bushel
1992,62.5,bushels,2.04,$/bushel
1993,58.9,bushels,1.99,$/bushel
1994,56.2,bushels,2.03,$/bushel
1995,57.2,bushels,2.89,$/bushel
1996,58.5,bushels,2.74,$/bushel
1997,58.1,bushels,2.38,$/bushel
1998,60.1,bushels,1.98,$/bushel
1999,59.5,bushels,2.13,$/bushel
2000,61.1,bushels,2.11,$/bushel
2001,58.1,bushels,2.22,$/bushel
2002,55,bushels,2.72,$/bushel
2003,58.9,bushels,2.83,$/bushel
2004,69.6,bushels,2.48,$/bushel
2005,64.8,bushels,2.53,$/bushel
2006,61.1,bushels,2.85,$/bushel
2007,60,bushels,4.02,$/bushel
2008,63.3,bushels,5.37,$/bushel
2009,72.8,bushels,4.66,$/bushel
2010,73.1,bushels,3.86,$/bushel
2011,69.1,bushels,5.35,$/bushel
2012,66.9,bushels,6.43,$/bushel
2013,71.3,bushels,6.06,$/bushel
2014,72.7,bushels,5.3,$/bushel
2015,69.1,bushels,5.52,$/bushel
2016,77.9,bushels,4.96,$/bushel
2017,73,bushels,4.47,$/bushel
2018,77.5,bushels,4.62,$/bushel
2019,77.7,bushels,4.69,$/bushel
2020,77.2,bushels,4.75,$/bushel
2021,60.4,bushels,5.15,$/bushel
